,epoch,Training Loss generator,Training Loss discriminator,Valid. Loss,Valid. Accur.,Training Time,Test Time,Test accuracy,Test f1_score_macro,Test f1_score_micro
0,1,0.29926704721791403,3.0208053588867188,0.6196772456169128,0.79,0:00:18,0:00:02,0.79,0.11033519553072627,0.79
1,2,0.8179205443177905,1.3658502811477298,0.46769335865974426,0.83125,0:00:18,0:00:02,0.83125,0.16873891591770834,0.83125
2,3,0.7578450100762504,1.1993461847305298,0.3653413951396942,0.87,0:00:18,0:00:02,0.87,0.2850512043195632,0.87
3,4,0.7516502823148455,1.0470545944713412,0.2989486753940582,0.89,0:00:18,0:00:02,0.89,0.3182670436182221,0.89
4,5,0.7353103643371945,0.9944678147633871,0.25206413865089417,0.89875,0:00:18,0:00:02,0.89875,0.36373800516820676,0.89875
5,6,0.7243150699706304,1.0145821486200606,0.28428661823272705,0.9025,0:00:18,0:00:02,0.9025,0.4392144914216539,0.9025
6,7,0.7212687787555513,0.9289673964182535,0.23903781175613403,0.92125,0:00:19,0:00:02,0.92125,0.526482669409579,0.92125
7,8,0.7187686221940177,0.8784265347889492,0.321246474981308,0.945,0:00:19,0:00:03,0.945,0.6487416070091709,0.945
8,9,0.7146336265972683,0.8663984622274127,0.16689471900463104,0.98,0:00:19,0:00:03,0.98,0.7640856545532805,0.98
9,10,0.7128232405299232,0.8344665879294986,0.1374652087688446,0.97875,0:00:19,0:00:03,0.97875,0.8664432068979692,0.97875
10,11,0.7112157146135966,0.8205404309999376,0.1479095071554184,0.9775,0:00:19,0:00:03,0.9775,0.7532464445477873,0.9775
11,12,0.7188470846130735,0.7957280107906887,0.1257530301809311,0.98125,0:00:19,0:00:02,0.98125,0.7917719246678203,0.98125
12,13,0.7082784573237101,0.7875638632547288,0.09582788497209549,0.99125,0:00:18,0:00:02,0.99125,0.943416655234437,0.99125
13,14,0.7173445820808411,0.7722478338650295,0.10392553359270096,0.98375,0:00:18,0:00:02,0.98375,0.8831148618764718,0.98375
14,15,0.7254707217216492,0.7672450968197414,0.11679376661777496,0.98,0:00:17,0:00:02,0.98,0.8913100057836899,0.98
15,16,0.7127323462849572,0.7617230103129432,0.12911729514598846,0.97875,0:00:17,0:00:02,0.97875,0.884959290562422,0.97875
16,17,0.7129397931553069,0.7453659460658119,0.14406071603298187,0.97875,0:00:17,0:00:02,0.97875,0.8819285767586817,0.97875
17,18,0.7109547853469849,0.7432211836179098,0.14108331501483917,0.9825,0:00:17,0:00:02,0.9825,0.9034060846181824,0.9825
18,19,0.708390128044855,0.7418983408382961,0.16625237464904785,0.98125,0:00:17,0:00:02,0.98125,0.8961532201172913,0.98125
19,20,0.7100334394545782,0.7297567895480565,0.1655876487493515,0.98125,0:00:17,0:00:02,0.98125,0.8961532201172913,0.98125
20,21,0.7079931384041196,0.7266160874139695,0.17033560574054718,0.98125,0:00:17,0:00:02,0.98125,0.8961532201172913,0.98125
21,22,0.7084526448022752,0.7254079012643724,0.1748204529285431,0.98125,0:00:17,0:00:02,0.98125,0.8961532201172913,0.98125
22,23,0.711880502246675,0.7204873278027489,0.1783302128314972,0.98125,0:00:17,0:00:02,0.98125,0.8961532201172913,0.98125
23,24,0.7068033190000624,0.7233441443670363,0.18311846256256104,0.98,0:00:17,0:00:02,0.98,0.8800547352688064,0.98
24,25,0.7097131609916687,0.7205397656985691,0.18962502479553223,0.98,0:00:17,0:00:02,0.98,0.8800547352688064,0.98
25,26,0.7062475567772275,0.7215860599563235,0.19325818121433258,0.97875,0:00:17,0:00:02,0.97875,0.8786914968902153,0.97875
26,27,0.712051735037849,0.7166283811841693,0.19518116116523743,0.97875,0:00:18,0:00:02,0.97875,0.8786914968902153,0.97875
27,28,0.7110492842538017,0.7206919533865792,0.2231559455394745,0.97375,0:00:18,0:00:02,0.97375,0.8651339295379543,0.97375
28,29,0.7022390393983751,0.7492576496941703,0.12884700298309326,0.98375,0:00:18,0:00:02,0.98375,0.8718197920500552,0.98375
29,30,0.7085008450916835,0.7438358721278963,0.1607116460800171,0.98125,0:00:18,0:00:02,0.98125,0.8829860644813268,0.98125
30,31,0.7045530165944781,0.7559044190815517,0.22261299192905426,0.9725,0:00:18,0:00:02,0.9725,0.8445409938767954,0.9725
31,32,0.7141730955668858,0.7378649229095096,0.22698940336704254,0.9725,0:00:18,0:00:02,0.9725,0.8017513425238465,0.9725
32,33,0.7059981936500186,0.7634806888444083,0.18257495760917664,0.9825,0:00:18,0:00:02,0.9825,0.8822449480344217,0.9825
33,34,0.7105681385312762,0.7148419760522389,0.22792071104049683,0.97625,0:00:19,0:00:02,0.97625,0.8774785729094341,0.97625
34,35,0.7057012518246969,0.7146858998707363,0.26778534054756165,0.9725,0:00:19,0:00:02,0.9725,0.8735449191331544,0.9725
35,36,0.7061923515228998,0.7163205402238029,0.27870455384254456,0.9725,0:00:18,0:00:02,0.9725,0.8774684252945122,0.9725
36,37,0.7041818045434498,0.7144805079414731,0.28265124559402466,0.9725,0:00:18,0:00:02,0.9725,0.8774684252945122,0.9725
37,38,0.7051161669549488,0.7144002857662383,0.3169928193092346,0.96875,0:00:17,0:00:02,0.96875,0.8704432763742314,0.96875
38,39,0.7079098990985325,0.7105567313375927,0.3250094950199127,0.96875,0:00:17,0:00:02,0.96875,0.8704432763742314,0.96875
39,40,0.706994442712693,0.7099767866588774,0.3334425985813141,0.9675,0:00:17,0:00:02,0.9675,0.8691873284490924,0.9675
40,41,0.7038659992672148,0.7129478426206679,0.33147215843200684,0.96875,0:00:17,0:00:02,0.96875,0.8719624976903703,0.96875
41,42,0.7003349690210252,0.7162850868134272,0.3353347182273865,0.96875,0:00:17,0:00:02,0.96875,0.8704432763742314,0.96875
42,43,0.7085995844432286,0.7085116108258566,0.3373463451862335,0.96875,0:00:17,0:00:02,0.96875,0.8704432763742314,0.96875
43,44,0.7033984008289519,0.7139407424699693,0.34697020053863525,0.96875,0:00:18,0:00:02,0.96875,0.8704432763742314,0.96875
44,45,0.703445091134026,0.7107745096797035,0.3547799587249756,0.96875,0:00:18,0:00:02,0.96875,0.8704432763742314,0.96875
45,46,0.7072839736938477,0.7088786704199654,0.36011627316474915,0.96875,0:00:18,0:00:02,0.96875,0.8704432763742314,0.96875
46,47,0.7072924034936088,0.7065850212460473,0.36622580885887146,0.96875,0:00:18,0:00:02,0.96875,0.8704432763742314,0.96875
47,48,0.7003798995699201,0.7131411575135731,0.37211713194847107,0.96875,0:00:18,0:00:02,0.96875,0.8704432763742314,0.96875
48,49,0.7034993228458223,0.7088490724563599,0.34242215752601624,0.97125,0:00:18,0:00:02,0.97125,0.8730283719648628,0.97125
